VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"12/1/2020, 6:42:30 AM","12/1/2020, 6:47:42 AM",1,1.7,1,N,151,239,2,7.5,3,0.5,0,0,0.3,11.3,2.5,-
1,"12/1/2020, 6:53:50 AM","12/1/2020, 7:03:10 AM",1,2.7,1,N,238,42,1,10,3,0.5,0.08,0,0.3,13.88,2.5,-
1,"12/1/2020, 7:13:14 AM","12/1/2020, 7:24:15 AM",1,3.8,1,N,74,167,1,14,0.5,0.5,0,0,0.3,15.3,0,-
1,"12/1/2020, 7:19:00 AM","12/1/2020, 7:42:35 AM",1,8.9,1,N,132,265,1,27,0.5,0.5,15,0,0.3,43.3,0,-
2,"12/1/2020, 7:16:12 AM","12/1/2020, 7:21:21 AM",1,1.09,1,N,163,140,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,-
2,"12/1/2020, 6:51:00 AM","12/1/2020, 6:53:39 AM",1,0.01,1,N,55,55,2,3.5,0.5,0.5,0,0,0.3,4.8,0,-
2,"12/1/2020, 6:54:04 AM","12/1/2020, 7:17:19 AM",1,13.7,1,N,55,10,2,40.5,0.5,0.5,0,0,0.3,41.8,0,-
2,"12/1/2020, 7:27:37 AM","12/1/2020, 7:33:35 AM",1,0.03,1,N,10,10,2,5,0.5,0.5,0,0,0.3,6.3,0,-
1,"12/1/2020, 6:33:14 AM","12/1/2020, 6:49:45 AM",1,5.3,1,N,142,4,1,18.5,3,0.5,4.45,0,0.3,26.75,2.5,-
2,"12/1/2020, 6:46:18 AM","12/1/2020, 6:51:35 AM",2,2.21,1,N,45,52,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5,-
2,"12/1/2020, 6:35:55 AM","12/1/2020, 6:46:26 AM",1,5.01,1,N,48,152,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5,-
2,"12/1/2020, 6:42:49 AM","12/1/2020, 6:46:38 AM",1,0.93,1,N,68,249,2,5,0.5,0.5,0,0,0.3,8.8,2.5,-
2,"12/1/2020, 6:50:41 AM","12/1/2020, 6:59:14 AM",3,0.74,1,N,114,211,2,7,0.5,0.5,0,0,0.3,10.8,2.5,-
1,"12/1/2020, 6:31:22 AM","12/1/2020, 6:55:03 AM",1,9.2,1,N,87,152,2,28,3,0.5,0,0,0.3,31.8,2.5,-
1,"12/1/2020, 6:53:27 AM","12/1/2020, 7:11:39 AM",1,3.2,1,N,75,116,1,15,0.5,0.5,3.25,0,0.3,19.55,0,-
2,"12/1/2020, 6:32:03 AM","12/1/2020, 6:54:16 AM",1,10.51,1,N,132,36,1,30,0.5,0.5,3,0,0.3,34.3,0,-
1,"12/1/2020, 6:48:07 AM","12/1/2020, 6:54:03 AM",1,1.4,1,N,140,161,2,7,3,0.5,0,0,0.3,10.8,2.5,-
1,"12/1/2020, 7:21:04 AM","12/1/2020, 7:24:36 AM",1,1.5,1,N,90,230,1,6,3,0.5,1.95,0,0.3,11.75,2.5,-
2,"12/1/2020, 6:33:59 AM","12/1/2020, 6:47:23 AM",1,4.07,1,N,143,42,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5,-
1,"12/1/2020, 6:33:45 AM","12/1/2020, 6:38:40 AM",1,1.7,1,N,148,137,2,7,3,0.5,0,0,0.3,10.8,2.5,-
1,"12/1/2020, 6:50:17 AM","12/1/2020, 7:00:59 AM",1,3.4,1,N,186,263,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5,-
2,"12/1/2020, 6:51:44 AM","12/1/2020, 7:01:39 AM",1,2.24,1,N,186,224,1,9.5,0.5,0.5,2,0,0.3,15.3,2.5,-
2,"12/1/2020, 6:47:08 AM","12/1/2020, 6:49:37 AM",5,0.8,1,N,162,237,1,4.5,0.5,0.5,1.5,0,0.3,9.8,2.5,-
2,"12/1/2020, 6:55:56 AM","12/1/2020, 7:09:17 AM",6,3.91,1,N,263,164,2,13.5,0.5,0.5,0,0,0.3,17.3,2.5,-
2,"12/1/2020, 7:13:58 AM","12/1/2020, 7:24:12 AM",5,3.59,1,N,170,75,2,12,0.5,0.5,0,0,0.3,15.8,2.5,-
2,"12/1/2020, 6:37:55 AM","12/1/2020, 7:17:50 AM",1,18.91,1,N,100,180,2,54.5,0.5,0.5,0,0,0.3,58.3,2.5,-
1,"12/1/2020, 6:49:21 AM","12/1/2020, 7:14:25 AM",1,15.8,1,N,132,256,3,43,0.5,0.5,0,0,0.3,44.3,0,-
1,"12/1/2020, 6:30:37 AM","12/1/2020, 6:38:22 AM",1,2.2,1,N,41,238,1,9,2.5,0.5,2.45,0,0.3,14.75,2.5,-
1,"12/1/2020, 7:02:41 AM","12/1/2020, 7:07:31 AM",1,1.3,1,N,236,74,1,6,2.5,0.5,2.3,0,0.3,11.6,2.5,-
1,"12/1/2020, 7:24:12 AM","12/1/2020, 7:46:58 AM",1,10,1,N,141,61,2,30,2.5,0.5,0,0,0.3,33.3,2.5,-
2,"12/1/2020, 6:46:31 AM","12/1/2020, 6:53:02 AM",2,2.19,1,N,137,48,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,-
2,"12/1/2020, 6:56:29 AM","12/1/2020, 7:18:32 AM",2,9.23,1,N,48,49,2,27.5,0.5,0.5,0,0,0.3,31.3,2.5,-
2,"12/1/2020, 6:32:48 AM","12/1/2020, 6:39:20 AM",1,2.42,1,N,107,230,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5,-
2,"12/1/2020, 6:37:24 AM","12/1/2020, 6:51:25 AM",1,5.89,1,N,132,38,2,18,0.5,0.5,0,0,0.3,19.3,0,-
2,"12/1/2020, 6:49:13 AM","12/1/2020, 7:16:33 AM",1,20.84,1,N,132,46,2,55,0.5,0.5,0,6.12,0.3,62.42,0,-
2,"12/1/2020, 6:45:53 AM","12/1/2020, 6:55:45 AM",2,2.02,1,N,237,143,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5,-
2,"12/1/2020, 7:00:12 AM","12/1/2020, 7:07:14 AM",1,1.6,1,N,142,237,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5,-
1,"12/1/2020, 6:44:07 AM","12/1/2020, 7:11:56 AM",0,12.6,1,N,132,217,2,36,0.5,0.5,0,0,0.3,37.3,0,-
2,"12/1/2020, 6:55:15 AM","12/1/2020, 7:14:20 AM",1,8.33,1,N,132,86,2,25,0.5,0.5,0,0,0.3,26.3,0,-
1,"12/1/2020, 6:34:40 AM","12/1/2020, 6:42:20 AM",1,1.9,1,N,261,66,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5,-
2,"12/1/2020, 7:15:10 AM","12/1/2020, 7:32:25 AM",1,4.34,1,N,140,226,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5,-
2,"12/1/2020, 7:04:11 AM","12/1/2020, 7:26:36 AM",2,6.52,1,N,100,42,1,21,0.5,0.5,1.08,0,0.3,25.88,2.5,-
1,"12/1/2020, 6:39:49 AM","12/1/2020, 7:16:11 AM",1,21.6,2,N,132,127,1,52,0,0.5,8,6.12,0.3,66.92,0,-
2,"12/1/2020, 6:55:25 AM","12/1/2020, 7:38:05 AM",1,6.8,1,N,186,42,2,32,0.5,0.5,0,0,0.3,35.8,2.5,-
